loc_code	codeplas	index_0m	index_50m	index_100m	index_150m	index_200m
AN_SLH_001	ANTRIJ0171	3.319628647	3.590425532	1.848148148	3.998309383	2.574493445
AN_DVH_002	ANTRIJ0308	2.247384481	2.162962963	4.078431373	4.081677704	3.741204066
AN_RIN_001	ANTSIL0322	2.315822002	4.018099548	3.741982507	4.035591274	3.563176895
AN_ATG_001	ANTSTB0002	2.66763285	2.303680982	3.560364465	3.131917632	3.619172685
ANTTUR0022	ANTTUR0022	2.101796407	2.067183463	2.022240527	3.360805861	3.291788856
AN_TVG_003	ANTTUR0065	1.670362903	2.346153846	3.617105263	3.88373494	2.700605394
ANTTUR0077	ANTTUR0077	1.423887588	3.659793814	3.617563739	3.125535561	3.451428571
AN_TVG_004	ANTTUR0082	2.587912088	3.988372093	3.352813853	3.994073276	2.47678703
ANTTUR0082	ANTTUR0082	2.587912088	3.988372093	3.352813853	3.994073276	2.47678703
AN_TVG_006	ANTTUR0094	2.129296236	2.569444444	3.75890411	4.144117647	3.628930818
AN_DUI_002	ANTTUR0127	2.451837769	3.068181818	2.590220386	3.78614098	2.418803419
AN_DUI_001	ANTTUR0142	2.325757576	2.609756098	3.757275542	1.785529716	3.683535762
AN_MEL_001	ANTTUR0207	2.126105344	2.231818182	3.855978261	2.538978495	2.105652759
AN_TVG_007	ANTTUR0257	2.889845095	3.361344538	2.474063401	3.009158752	2.555392517
ANTTUR0270	ANTTUR0270	3.018587361	3.86	4.216049383	2.42773208	2.759552042
ANTTUR0273	ANTTUR0273	2	2.332684825	3.332183908	2.541789577	2.481702763
ANTTUR0282	ANTTUR0282	3.643122677	2.783088235	3.447887324	3.543173862	3.651001541
ANTTUR0292	ANTTUR0292	2.021865889	2.902654867	4.11011236	3.839449541	3.62012012
ANTTUR0295	ANTTUR0295	2.034965035	3.701388889	4.246418338	3.586649551	3.679389313
AN_TVG_005	ANTTUR0296	2.368644068	4.122340426	2.814252336	3.882596685	3.639057751
ANTTUR0297	ANTTUR0297	2	3.677570093	2.216566866	3.863823934	3.726294553
ANTTUR0299	ANTTUR0299	2	3.943396226	2.586348684	2.304455446	2.526089626
ANTTUR0300	ANTTUR0300	2.617647059	3.506666667	2.99829932	3.713669951	3.68498452
